Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana pochłaniająca,39.49934818650498,0.14604701832908834,0.48720030999330394,2.301672966737274,0.1786821988557237
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana odbijająca,38.726835341284584,0.1370339720958177,0.5069640395103575,2.1800214438205963,0.22641718628545618
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana tłumiąca,41.750556920814574,0.1391631732630182,0.5255725200742379,2.480892109142193,0.19997792744690787
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana,41.55073012396174,0.15101453919704347,0.5472317067570246,2.6921119321810187,0.17588195620898472
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana  tłumiąca,40.88310304560898,0.15299562311165338,0.5564356886611648,2.509163066367718,0.20132651884250435
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana odbijająca,40.33625568450134,0.14880258817300693,0.5561517589753824,2.5015657936109843,0.20217406489445092
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana lustrzana,41.90551121631042,0.15211869241982282,0.49597888542721147,2.41748550329749,0.18490843121357506
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana resetująca,43.90300529960933,0.1540551785071731,0.5038271839002298,2.3354085696735236,0.19965534966586826
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana teleportująca,37.26429852256855,0.16228260587499901,0.5228532017397169,2.1817904124819356,0.21513965702456941
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana pochłaniająca,67.06338354256437,0.2968391668651178,0.6506953602005204,2.593157818631058,0.381444174555774
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana odbijająca,64.14127964593362,0.25792290185601646,0.6564202780680346,2.6983782010386226,0.35480450941390057
