Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,46.25156101049785,0.581228740808991,5.771083850294517
Sphere,20,Reflecting,46.65014706571798,0.5702536297695733,6.284542092333437
Sphere,20,Damping,51.460453090664814,0.6093464131870522,6.399256398652666
Sphere,20,Invisible,45.61355271398634,0.5257378892604916,6.880256998134407
Sphere,20,Invisible/Damping,49.40956953428366,0.5689425990971959,7.077109585485914
Sphere,20,Invisible/Reflecting,50.52555477069177,0.5205608935026099,7.433829112480562
Sphere,20,Mirroring,49.46970633132413,0.44520628292420483,6.567771693457825
Sphere,20,Restarting,50.058936903832134,0.5119561596305602,6.582233266627627
Sphere,20,Teleporting,50.07397961508238,0.5030667990919337,6.64383104843505
Sphere,30,Absorbing,71.48058979756459,0.8609910603686597,7.662568698701516
Sphere,30,Reflecting,75.54393140404787,0.8582668206160976,7.82260476449715
Sphere,30,Damping,73.08486064362155,0.7767262134306652,7.91561886624944
Sphere,30,Invisible,76.48932404935194,0.8640556241265169,8.638963350644786
Sphere,30,Invisible/Damping,71.31883522267034,0.8793188234103548,8.704085955292914
Sphere,30,Invisible/Reflecting,71.98562761368103,0.8375833814651019,8.668740670576362
Sphere,30,Mirroring,73.82339262660123,0.9027885630187189,7.676227064648981
Sphere,30,Restarting,70.85470468286219,0.9760831782044184,7.825263512129218
Sphere,30,Teleporting,72.13442147365699,0.9343786033622277,7.725304091312373
Sphere,50,Absorbing,129.23523468049882,1.7522429286828007,10.676524370932826
Sphere,50,Reflecting,121.004442344127,1.5267437620866804,9.962774487842214
Sphere,50,Damping,124.02740228253435,1.5816183366571352,9.921847629869532
Sphere,50,Invisible,126.95359391795598,1.7531567586012475,11.806336629703186
Sphere,50,Invisible/Damping,130.17577599735029,1.757723690868777,12.110225679721697
Sphere,50,Invisible/Reflecting,118.28553129297555,1.7869348623034873,11.65857705342401
Sphere,50,Mirroring,127.59451667153314,1.7906092668352898,10.547488343177973
Sphere,50,Restarting,126.28043677731247,1.722307442978367,11.147800329682848
Sphere,50,Teleporting,123.40950411838499,1.7523397255164528,10.964987366164493
Griewank,20,Absorbing,182.0948304716941,2.7627803380506344,22.24325415584845
Griewank,20,Reflecting,170.22798838185534,2.832246147654307,22.726817359377783
Griewank,20,Damping,173.24970564146844,2.844411238237326,21.956050021510936
Griewank,20,Invisible,162.647461499602,2.8588987242622648,23.93403833239409
Griewank,20,Invisible/Damping,161.05373583001315,2.7656097991329864,24.70557005489136
Griewank,20,Invisible/Reflecting,174.35099533882544,2.7803928994601947,25.131918043902637
Griewank,20,Mirroring,168.83085537232617,2.973008421201535,21.313633340597214
Griewank,20,Restarting,167.27736254996444,2.6998721907940713,21.40536801885923
Griewank,20,Teleporting,159.6101153887511,2.9769295067226897,21.001968567752176
Griewank,30,Absorbing,240.18801939392338,4.092583204708022,25.60366554514198
Griewank,30,Reflecting,271.7546004843289,3.931789176494481,26.74496629537217
Griewank,30,Damping,239.36620955248472,3.955146095698372,25.981080766572966
Griewank,30,Invisible,248.76757871126318,4.15614194250875,30.331211118651066
Griewank,30,Invisible/Damping,222.44487434560438,3.935751637228494,27.799077411566312
Griewank,30,Invisible/Reflecting,231.56989032445534,4.138539141907127,28.54565732100601
Griewank,30,Mirroring,246.6938426290579,3.786873901176773,26.756359332805726
Griewank,30,Restarting,255.9746567986339,3.932914805258009,28.128071975631364
Griewank,30,Teleporting,260.3192722407613,3.9012416959534435,27.87534565018253
Griewank,50,Absorbing,424.69205263882975,6.14526209243911,35.85699269436281
Griewank,50,Reflecting,434.4004488334211,6.298699242611126,35.08919170206192
Griewank,50,Damping,433.20802999995493,6.529136370604038,35.1359614402229
Griewank,50,Invisible,449.63050860103806,7.4025020576362,40.26032579356569
Griewank,50,Invisible/Damping,431.62657932595056,6.708743281284792,41.205734792856894
Griewank,50,Invisible/Reflecting,416.00272215249936,7.3557061344545005,41.39526220102375
Griewank,50,Mirroring,429.02293839176747,6.832381155313776,36.633359217168326
Griewank,50,Restarting,423.64486516347506,6.850331976790217,38.48735501234483
Griewank,50,Teleporting,415.68019988976494,7.116384295931307,37.6651201164578
Rastrigin,20,Absorbing,218.79456457250976,87.46057262817632,19.424793630707764
Rastrigin,20,Reflecting,220.2850015991126,84.87474775998172,18.67251528343095
Rastrigin,20,Damping,213.87046544439008,86.1995208155154,18.704944192000664
Rastrigin,20,Invisible,219.78975934642108,100.8011695574584,24.225039634097193
Rastrigin,20,Invisible/Damping,210.67064088647652,100.8750136704592,24.04076383009535
Rastrigin,20,Invisible/Reflecting,215.8263736659685,99.97099145612852,23.554473088326574
Rastrigin,20,Mirroring,213.0054783235524,95.51215124031337,23.135850408370736
Rastrigin,20,Restarting,214.04044687636934,92.60171717423545,23.641164044769845
Rastrigin,20,Teleporting,214.4240205842938,95.30230295690379,22.30139411215257
Rastrigin,30,Absorbing,335.5325761450693,145.52703635966418,24.819122210486587
Rastrigin,30,Reflecting,328.4300702618697,128.98792116393264,31.04409555445833
Rastrigin,30,Damping,324.5513823719651,129.93475558790584,27.772945470406835
Rastrigin,30,Invisible,330.1994458498653,164.84215295390976,31.44112002750988
Rastrigin,30,Invisible/Damping,339.4580554078897,157.92633351257822,31.190243229459355
Rastrigin,30,Invisible/Reflecting,328.1946281667462,163.60699764766792,29.28274680418221
Rastrigin,30,Mirroring,320.6836664179268,156.09320384070847,29.59979642457358
Rastrigin,30,Restarting,325.1869446543668,158.54201201957505,30.876866128993903
Rastrigin,30,Teleporting,318.78996986091516,156.79299567411192,31.74533861570601
Rastrigin,50,Absorbing,567.710473647584,218.18393575190197,44.341162001999834
Rastrigin,50,Reflecting,563.6374078474674,195.14593764355217,52.77384814461753
Rastrigin,50,Damping,573.7478265478909,217.85340284059316,44.36623234321034
