Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,46.281467783811806,0.4477199405980648,6.014293530581665
Sphere,20,Reflecting,45.17626756954307,0.4924659487496575,5.876862043471532
Sphere,20,Damping,53.224083356678236,0.5054431705678326,6.884321772878844
Sphere,20,Invisible,47.37586311942828,0.5025718292597313,6.573108911515136
Sphere,20,Invisible/Damping,49.07709530770083,0.492744151124102,7.159547722796269
Sphere,20,Invisible/Reflecting,44.12371843077365,0.5177195228864373,6.372371811647546
Sphere,20,Mirroring,46.54063011006945,0.4741437466641417,5.952160105905519
Sphere,20,Restarting,53.63117510311764,0.4799866475623916,6.74360944605365
Sphere,20,Teleporting,53.38796116990992,0.5701048185666794,6.547923740854465
Sphere,30,Absorbing,69.62753333706127,0.7987424124668966,7.436815111440156
Sphere,30,Reflecting,74.44301630939654,0.7770955506515511,7.591216485915788
Sphere,30,Damping,69.17053231705952,0.855856525746226,7.743272670109781
Sphere,30,Invisible,67.99428198367919,0.8957438141485821,8.707403455793983
Sphere,30,Invisible/Damping,70.4711165538258,0.7988224392334915,8.421053616065503
Sphere,30,Invisible/Reflecting,70.94745075418436,0.8424841550320752,8.564452661986447
Sphere,30,Mirroring,70.19157231630956,0.8198033931665296,7.2788761385225484
Sphere,30,Restarting,69.6354181220998,0.7558257149416346,7.507407578236221
Sphere,30,Teleporting,69.73486931863735,0.8790783322190169,7.8424946671075855
Sphere,50,Absorbing,120.45656132361432,1.458676218921199,10.143145204781419
Sphere,50,Reflecting,125.14045949377221,1.4737286691067857,10.143052762446539
Sphere,50,Damping,126.31404541035003,1.4270102143546937,10.001938066461731
Sphere,50,Invisible,124.17463285408812,1.5993125175826988,11.145696617894822
Sphere,50,Invisible/Damping,119.6774912504375,1.5333537865874818,10.694559692490387
Sphere,50,Invisible/Reflecting,121.58986508936934,1.7104931138069872,11.44447973117648
Sphere,50,Mirroring,124.81344867923936,1.6165271898722207,10.669076026642049
Sphere,50,Restarting,124.04927496379938,1.7360791201337757,10.90387575333398
Sphere,50,Teleporting,122.38504679773709,1.5862809577838028,10.453711885705934
Griewank,20,Absorbing,160.53484261563858,2.7106238802828466,20.761841659565203
Griewank,20,Reflecting,160.917540688699,2.819614521196569,20.014565568763032
Griewank,20,Damping,155.18264921417776,2.689990321936879,19.54389033488229
Griewank,20,Invisible,163.7323919554371,2.784490260095762,23.722162988293498
Griewank,20,Invisible/Damping,154.5673523742179,2.7255034779187017,22.413097131909325
Griewank,20,Invisible/Reflecting,157.18878740006414,2.7279527908118797,23.60388697836798
Griewank,20,Mirroring,154.6912410792101,2.7723265889967332,20.647744066509038
Griewank,20,Restarting,164.40479560490684,2.8867294551107223,20.810734078385366
Griewank,20,Teleporting,161.21395154234847,2.6640483298976347,20.83409617973289
Griewank,30,Absorbing,244.58005821673856,3.5677222448900325,26.008097649547338
Griewank,30,Reflecting,249.97953402981176,3.713592734467592,26.042918332488405
Griewank,30,Damping,242.41198211718884,3.7042767495337556,25.33787285711855
Griewank,30,Invisible,249.06263916698245,3.684604270186383,31.242592369691902
Griewank,30,Invisible/Damping,229.72587242784098,3.9657976777756523,28.696629014434862
