Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,260.7254797538973,6.242111916967614,35.753531690280546
Sphere,20,Reflecting,245.31464218537343,0.6720516793957579,34.95050949833751
Sphere,20,Damping,265.1112234883063,0.5390189691096251,38.22751936210782
Sphere,20,Invisible,253.62191393517372,0.6365296187632778,43.79196620008805
Sphere,20,Invisible/Damping,254.75039704085876,0.6198431218167098,37.572802706872984
Sphere,20,Invisible/Reflecting,242.98327759082395,0.5751371189565363,39.56352534111609
Sphere,20,Mirroring,250.09538741955598,0.43029598266330293,34.61861931421553
Sphere,20,Restarting,261.7618675144057,0.6082094382950393,36.2057298943598
Sphere,20,Teleporting,254.73935359517677,5.14664496395804,37.434457157188085
Sphere,30,Absorbing,406.61201665878764,3.371002738863968,46.34690769012154
Sphere,30,Reflecting,421.05193014246777,0.9418288504565302,49.259639387969536
Sphere,30,Damping,408.73705484151304,0.9094541337852444,46.644187342536064
Sphere,30,Invisible,411.41171660930206,0.9085523726331433,57.79887157627134
Sphere,30,Invisible/Damping,421.3346102744546,0.8746112825696715,50.055566769918336
Sphere,30,Invisible/Reflecting,425.59147863149167,0.8782496957867716,56.312522854630664
Sphere,30,Mirroring,410.6619537839576,0.7022468676551199,47.73280690554215
Sphere,30,Restarting,408.1112501412837,0.8627160926508968,46.58481687331172
Sphere,30,Teleporting,415.9758352008821,8.867893694614647,52.42644313877106
Sphere,50,Absorbing,736.3441463951358,4.607357193948905,67.4963924081618
Sphere,50,Reflecting,755.6901381008453,1.6974823589584762,69.59481961318303
Sphere,50,Damping,750.3097433835146,1.4688219174976784,72.71312659889018
Sphere,50,Invisible,759.8210446243215,2.013001372145264,95.59416941011304
Sphere,50,Invisible/Damping,759.2142556545557,1.694415050835758,72.67032709967285
Sphere,50,Invisible/Reflecting,740.2567519311261,1.6751003886785618,84.49306851214804
Sphere,50,Mirroring,748.0571540044846,1.1230503783024783,69.87394802029226
Sphere,50,Restarting,755.5535482977253,1.3894837883200313,69.46416130641272
Sphere,50,Teleporting,764.9621411669345,24.48001988033684,78.99142570291575
Griewank,20,Absorbing,1204.3945953063826,0.7309694436692351,181.71727484494252
Griewank,20,Reflecting,1172.2454535733664,0.3407455195833177,179.5962115202143
Griewank,20,Damping,1179.1419544742103,0.405052972783072,176.60210367623213
Griewank,20,Invisible,1137.5725560419548,32.40105838175333,219.19108815436536
Griewank,20,Invisible/Damping,1253.0172812317633,9.45682613391762,191.9706677688635
Griewank,20,Invisible/Reflecting,1159.0404706380284,45.61017673293714,206.18043646683185
Griewank,20,Mirroring,1212.0264689670125,0.18931638055291422,182.20723971884854
Griewank,20,Restarting,1229.1296426920128,0.09949470031234253,218.45315802302457
Griewank,20,Teleporting,1255.9929322477035,95.17408879622668,188.22304601589448
Griewank,30,Absorbing,1896.6743374115708,0.7871029683300603,238.7989592808846
Griewank,30,Reflecting,1933.6241566199224,0.23673404156975653,248.85861136158195
Griewank,30,Damping,1899.0600621028375,0.4730900386846078,237.67876770848412
Griewank,30,Invisible,1884.9414418365245,72.74047223074791,294.1661544453675
Griewank,30,Invisible/Damping,1835.1628237214913,18.02382415812551,234.78487741282265
Griewank,30,Invisible/Reflecting,1969.8480305228034,69.6766984575828,288.83943621349204
Griewank,30,Mirroring,1860.5970946280231,0.13476679532146985,227.09400013267287
Griewank,30,Restarting,1889.312076765315,0.09810120354843455,335.77489695808435
Griewank,30,Teleporting,1996.297805659308,170.64136955848403,246.4543896730615
Griewank,50,Absorbing,3527.685122361299,32.11574331551111,331.7335195525426
Griewank,50,Reflecting,3440.9968275517012,0.08835719454505908,392.6034589129921
