Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,221.24437205293142,0.12573114137610378,30.7842782388216
Sphere,20,Reflecting,233.03459633442094,0.18184194866546885,32.8941381988212
Sphere,20,Damping,247.60045997005756,0.12565873780481607,34.38031624833076
Sphere,20,Invisible,206.63163836659456,0.09649677573762594,28.830054992616656
Sphere,20,Invisible/Damping,218.04956663939387,0.11506672376019857,30.410851282332043
Sphere,20,Invisible/Reflecting,216.69560645084485,0.12710174370398572,30.732480090035757
Sphere,20,Mirroring,217.61726955041732,0.1394120973677224,30.325202090070576
Sphere,20,Restarting,223.030185657466,0.07056923124692957,33.54850332295094
Sphere,20,Teleporting,219.56639368119858,0.1335152700794823,29.889412313661673
Sphere,30,Absorbing,359.9952163622912,0.10088787368407658,41.23690027646866
Sphere,30,Reflecting,348.1806479075527,0.11989106071329568,40.65007712132935
Sphere,30,Damping,346.49398640506075,0.128381549319731,39.43178561672093
Sphere,30,Invisible,353.8165501894928,0.11719747192352427,39.8274441653409
Sphere,30,Invisible/Damping,365.9556373881148,0.10046426168961282,42.00110545897141
Sphere,30,Invisible/Reflecting,367.4351977172534,0.13838330185701558,41.34915135764042
Sphere,30,Mirroring,380.0027895605184,0.11754498042641492,43.810365741661634
Sphere,30,Restarting,349.4013976096279,0.09201232794543733,51.35481944952752
Sphere,30,Teleporting,386.605852517841,0.1653247282093153,43.38407079811922
Sphere,50,Absorbing,662.0592980003515,0.1098431065914162,59.439345860412004
Sphere,50,Reflecting,680.4388469367456,0.13042385849394728,59.85848889247347
Sphere,50,Damping,689.5234301635866,0.08668676383901258,81.11153917886213
Sphere,50,Invisible,671.3585052869199,0.08087083203154398,65.54375836184917
Sphere,50,Invisible/Damping,685.7076203271517,0.11418759522419959,62.43154392851969
Sphere,50,Invisible/Reflecting,696.0289763374427,0.09243108992234206,77.84290609791567
Sphere,50,Mirroring,703.9040136979025,0.10315964696212132,62.09478809241471
Sphere,50,Restarting,675.0128735100859,0.031647948326054755,69.2009276158845
Sphere,50,Teleporting,683.964458680158,0.18229847064993088,60.40828798542815
Griewank,20,Absorbing,1116.1616505014674,0.06882425224168554,322.9706046863348
Griewank,20,Reflecting,1102.470749942741,0.16119111663820848,162.65809116253337
Griewank,20,Damping,1114.3394479223512,0.49984876581936505,165.3266009766365
Griewank,20,Invisible,1048.0870585326331,1.9932135303171497,155.49265025188407
Griewank,20,Invisible/Damping,1090.6620978761164,8.95949905621454,159.48165549127086
Griewank,20,Invisible/Reflecting,1118.6329872931312,19.737801413408796,159.7202485857452
Griewank,20,Mirroring,1133.385229331469,0.17672049052567143,165.98309408834513
Griewank,20,Restarting,1130.4806394503435,0.09030791420936857,182.8266549008992
Griewank,20,Teleporting,1177.418555851662,24.53182224141176,166.87183410156925
Griewank,30,Absorbing,1760.1822479695154,0.05597600071178943,540.2856329715888
Griewank,30,Reflecting,1765.7582409734162,0.09419326949724399,212.84971818842263
Griewank,30,Damping,1715.875097532587,0.4755623412198509,207.31186213377347
Griewank,30,Invisible,1740.0353716739967,1.6507170465688386,208.58222788025404
Griewank,30,Invisible/Damping,1782.9585725500424,12.91023934927415,206.90466090852885
Griewank,30,Invisible/Reflecting,1852.0621331168877,36.426518266528284,214.53117328590483
Griewank,30,Mirroring,1688.990364637526,0.07963395220379843,356.8186968976073
Griewank,30,Restarting,1804.0023460816587,0.08878876587219098,479.0765000368819
Griewank,30,Teleporting,1852.3137405273344,36.58704358921252,215.35390791348652
Griewank,50,Absorbing,3248.6943715659213,0.007261223105086367,1022.7616420244576
Griewank,50,Reflecting,3220.421114106416,0.046439688948258784,554.8523223646465
Griewank,50,Damping,3251.967490117907,0.4282776943459303,307.50314230339893
Griewank,50,Invisible,3318.656337654839,1.5185075205281988,322.11594856424034
Griewank,50,Invisible/Damping,3396.6119829360277,26.972150167976707,306.2659014584822
Griewank,50,Invisible/Reflecting,3307.354936959192,57.41710597071817,307.64474055336393
Griewank,50,Mirroring,3168.8428255634385,0.09461339095226706,630.126935256812
Griewank,50,Restarting,3342.485156702148,0.06231251943396343,900.9436124156573
Griewank,50,Teleporting,3320.8938769777224,61.843287235727985,304.19954584223535
Rastrigin,20,Absorbing,71.63570563679247,9.854330090608238,6.723978031435371
Rastrigin,20,Reflecting,77.98502260719657,1.4184743770267567,7.676330359300492
Rastrigin,20,Damping,76.53426723270381,4.5512056945898305,7.6141332807542055
Rastrigin,20,Invisible,219.45264704921186,32.38336632586713,36.055787338832815
Rastrigin,20,Invisible/Damping,199.22993723041807,59.523061754615924,28.249061359563015
Rastrigin,20,Invisible/Reflecting,224.789487430483,35.77318806304582,35.57167540700227
Rastrigin,20,Mirroring,166.83537152766306,36.76206309412889,22.66763638016052
Rastrigin,20,Restarting,228.68936863696882,21.171422242778597,31.70812220527982
Rastrigin,20,Teleporting,218.0511211019853,96.41956700873675,25.376281012721922
Rastrigin,30,Absorbing,115.78389738928158,11.03595814178113,9.973723155645231
Rastrigin,30,Reflecting,100.7718042570772,1.4250519769959467,9.430790102957706
Rastrigin,30,Damping,100.89098972744344,1.8696099930482235,8.768461126010958
Rastrigin,30,Invisible,319.3669613246876,29.78632588714877,51.315801297848466
Rastrigin,30,Invisible/Damping,290.470529619265,34.05608426788899,47.56283157497644
Rastrigin,30,Invisible/Reflecting,329.30887977975146,21.513709546867922,50.36791219342659
Rastrigin,30,Mirroring,254.75373581287687,34.33335153265675,32.79483545859323
Rastrigin,30,Restarting,317.0783278926334,5.805582296035485,42.81709301889198
Rastrigin,30,Teleporting,321.25918245877205,101.94469175975529,44.380452944656206
Rastrigin,50,Absorbing,166.94984270587688,4.635742374034267,14.817338913304296
Rastrigin,50,Reflecting,165.79399453691153,0.17434610072204926,12.729148269877749
Rastrigin,50,Damping,154.95360076126235,0.36237923670964306,11.481775065805254
Rastrigin,50,Invisible,549.9920194592308,8.449926694942238,72.99653688928773
Rastrigin,50,Invisible/Damping,498.31101472059055,53.51497751307697,61.42132625504221
Rastrigin,50,Invisible/Reflecting,552.0127241867975,18.164096288601307,66.62878153556184
Rastrigin,50,Mirroring,414.75699020187113,17.328025090664628,47.24619275205995
Rastrigin,50,Restarting,538.6172346032685,0.6531739921043903,56.88207992122206
Rastrigin,50,Teleporting,535.6725494285511,109.27769693893997,72.46426865218179
Rosenbrock,20,Absorbing,127.23491967235448,17.39560430441627,7.751393361320618
Rosenbrock,20,Reflecting,62.98629935012504,16.607427346079678,3.287200358992187
Rosenbrock,20,Damping,50.80045382271828,17.890602908442794,2.725641108650552
Rosenbrock,20,Invisible,1029.0799934807487,2.3735691153777725,103.57181448810864
Rosenbrock,20,Invisible/Damping,741.1564347268276,32.48523547440219,76.12081510609117
Rosenbrock,20,Invisible/Reflecting,958.8808253566,1.1153253448186626,110.04245706153722
Rosenbrock,20,Mirroring,381.78880986901464,10.06164230154603,44.24683379902
Rosenbrock,20,Restarting,937.0006926072277,1.2513649612972755,83.83071671416413
Rosenbrock,20,Teleporting,927.3919839421245,7.058743296199313,119.17447096623516
Rosenbrock,30,Absorbing,55.004011716212325,27.304087562156457,1.6205821242327978
Rosenbrock,30,Reflecting,88.68384977601457,23.289352481977424,3.657636683261259
Rosenbrock,30,Damping,33.61331130820757,27.8090104773817,0.44323057794679704
Rosenbrock,30,Invisible,1126.0678088568625,0.8551929866350307,101.74745743400558
Rosenbrock,30,Invisible/Damping,974.8948885279166,49.39350833930027,82.62110555278052
Rosenbrock,30,Invisible/Reflecting,1244.066477115043,0.9468808356155671,107.17018178134452
Rosenbrock,30,Mirroring,642.1776781870435,12.945683038324995,57.634257693152534
Rosenbrock,30,Restarting,1043.0312007911086,2.633289826877565,80.70536952314887
Rosenbrock,30,Teleporting,1138.0409776705324,1.1039427596374243,142.4996444358919
Rosenbrock,50,Absorbing,87.44579936191124,46.93733804745369,1.8462131815353502
Rosenbrock,50,Reflecting,195.29260385354382,24.12487432828709,7.8940079717139735
Rosenbrock,50,Damping,281.87210998620077,46.34573922052944,10.459354974012735
Rosenbrock,50,Invisible,1577.0752862813936,0.8771484959239346,105.87745995938867
Rosenbrock,50,Invisible/Damping,1335.7236724150919,88.54625601348138,85.39441353932921
Rosenbrock,50,Invisible/Reflecting,1633.907746483886,0.7474172581163517,112.41754991404495
Rosenbrock,50,Mirroring,867.9681064692998,10.425194335112806,65.73974062994863
