Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,233.63201808694689,2.5153283801730106,32.40261296489856
Sphere,20,Reflecting,258.4712106934117,0.5710738765555653,38.65202680436853
Sphere,20,Damping,256.51620244491056,0.5645001855895175,36.045211822198425
Sphere,20,Invisible,249.87609180208264,0.5139146667631544,42.80540432342362
Sphere,20,Invisible/Damping,251.9479700469445,0.659045598831939,37.44496290785761
Sphere,20,Invisible/Reflecting,239.56558563519616,0.5554810149382176,38.44574346555588
Sphere,20,Mirroring,233.39868693487983,0.5385553744611858,33.25819768306192
Sphere,20,Restarting,234.07305104900698,0.4246300032376702,33.38255528185274
Sphere,20,Teleporting,247.8994322215086,4.28703417584514,37.08632224130402
Sphere,30,Absorbing,417.852662315653,2.5652023271237523,49.80305509093972
Sphere,30,Reflecting,403.92245207156265,0.933228106626674,47.58650448892989
Sphere,30,Damping,403.534008019925,0.8061517200662941,48.30990707767644
Sphere,30,Invisible,404.18630384954577,0.9486677686494172,59.08842334831675
Sphere,30,Invisible/Damping,394.65420712198915,0.9185201862633807,48.19812487932907
Sphere,30,Invisible/Reflecting,419.87015908849236,0.8471666466420448,56.38032264002988
Sphere,30,Mirroring,402.0392460546369,0.6274457532343348,45.91312109923315
Sphere,30,Restarting,417.73179761968447,0.6231576148787116,46.71554011880982
Sphere,30,Teleporting,391.14707331629114,8.858430424510622,50.930757759612185
Sphere,50,Absorbing,740.3088703750225,9.186065303087092,66.60053415603625
Sphere,50,Reflecting,752.9925493824486,1.4775078239150419,70.70381302064506
Sphere,50,Damping,736.9346912944959,1.2131274965261654,68.51804052527767
Sphere,50,Invisible,744.6707121498321,1.7122187102470536,87.29716730725926
Sphere,50,Invisible/Damping,751.0101715651502,1.3436211320938998,72.94734219852126
Sphere,50,Invisible/Reflecting,749.0237519149665,1.4678963705167314,82.22601763199518
Sphere,50,Mirroring,771.7388421615004,1.0424854871570586,69.45651042792667
Sphere,50,Restarting,729.3057182459368,1.3306562552349868,67.60922522292417
Sphere,50,Teleporting,760.1277711270557,22.585667849235964,78.65151772970496
Griewank,20,Absorbing,1128.0096349634164,16.42337657037924,171.90618714283502
Griewank,20,Reflecting,1194.9338953554077,0.21318207754725665,180.3302356998993
Griewank,20,Damping,1221.7908304946195,0.3766461044335128,186.8158233069436
Griewank,20,Invisible,1142.0011311886492,34.06884533414438,199.2414696758533
Griewank,20,Invisible/Damping,1178.4033015174296,9.80266444817924,190.4306862319632
Griewank,20,Invisible/Reflecting,1115.9948414505093,39.257162409066126,186.8425232907725
Griewank,20,Mirroring,1155.978350633681,0.16134452184251266,169.7237485109852
Griewank,20,Restarting,1172.6314411300418,0.10752285866572064,174.70541969914112
Griewank,20,Teleporting,1149.5139782008844,103.07500827871908,171.99377181224477
Griewank,30,Absorbing,1832.562086064052,0.8090278296105877,217.60890745343482
Griewank,30,Reflecting,1839.099549248163,0.1798321786314506,235.25608711754825
Griewank,30,Damping,1824.6916603002858,0.4319514749917861,228.49343168085724
Griewank,30,Invisible,1911.061846438282,73.69725975194166,287.0566940506954
Griewank,30,Invisible/Damping,1986.2220848119814,16.835607862575277,251.48937485260484
Griewank,30,Invisible/Reflecting,1821.8338882887351,68.91085737929397,254.2015505265723
Griewank,30,Mirroring,1803.7891954205745,0.15379509161935764,219.64579871116777
Griewank,30,Restarting,1857.8166292629207,0.09787780406205493,314.47884883812577
Griewank,30,Teleporting,1930.7762516345945,181.99576317403802,237.19761994067517
Griewank,50,Absorbing,3411.8144441007207,0.7828574175342852,321.8301370532442
Griewank,50,Reflecting,3346.739764475295,0.0966836955619611,370.33816169344385
Griewank,50,Damping,3366.7686125454334,0.5224558722386135,333.1027229027821
Griewank,50,Invisible,3267.040005992256,221.4871822487421,401.08368417281685
Griewank,50,Invisible/Damping,3430.347102101453,36.338416641284944,349.59562809284233
Griewank,50,Invisible/Reflecting,3399.7188420693446,128.20878331711205,394.06042208488685
Griewank,50,Mirroring,3414.066733689164,0.1427717276310373,334.6363878376883
Griewank,50,Restarting,3357.529009028368,0.09933965796110888,527.9302343932284
Griewank,50,Teleporting,3420.143807623192,360.6355342184464,360.5078947326321
Rastrigin,20,Absorbing,59.76102543015942,39.798909551469556,2.1470342198954353
Rastrigin,20,Reflecting,66.04644641246091,2.373207735182676,5.83172176338273
Rastrigin,20,Damping,56.089490154883165,2.211281900679991,5.509208145622044
Rastrigin,20,Invisible,212.1834722636185,94.29935566416184,23.531776449352396
Rastrigin,20,Invisible/Damping,204.12298264549935,117.95368026502153,12.343068042560539
Rastrigin,20,Invisible/Reflecting,210.80667307279276,88.72843327184299,22.899211695265315
Rastrigin,20,Mirroring,144.3680158003715,39.32669394026071,18.683755999114013
