Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,26.368917687013983,0.1266056406322755,0.8022972982543073,3.4638192012420213,0.15180314916612606
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,24.479107271972577,0.10568568158031864,0.7016351170031374,3.009833934432427,0.15401300796184128
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,27.24011928673921,0.12438986007949113,0.7805845873311934,3.4523681992181143,0.1387102489279136
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,28.738148189707363,0.11668521236742006,0.82775514459429,3.5086427135563154,0.148118571327085
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,27.16117506891846,0.1681289991466173,0.9662931040867185,3.815620804430275,0.2049383968816149
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,24.605423081491608,0.1025366952944373,0.7797018083636598,3.2997159499329305,0.1323530126560614
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,25.216122335932244,0.10290465947968525,0.7449729683750923,3.2255807135183137,0.15827612171000613
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,26.486430388738835,0.1331122243174966,0.7606761981076486,3.3092403458927335,0.1483133338163574
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,25.378723575309635,0.10429754592578896,0.8099209720649083,3.333357480854924,0.1446776220455784
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,36.75523017645018,0.16061980659402092,0.7661125316648644,3.916030925367797,0.2013419241534479
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,38.54276919453755,0.08172426016488038,0.6884920726793332,3.8349270901469357,0.129146351098081
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,37.67077207831018,0.10269292037366605,0.7283038373354658,3.980867790273734,0.15695152946191696
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,37.95582206424648,0.06509334313432769,0.7718779932477181,4.0513832310573745,0.13443193153826954
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,38.86257853734438,0.0649953458788471,0.8452450318927316,4.313052058855214,0.12129776510913862
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,38.716207975945444,0.13175937169421328,0.7824699155992966,4.028928576744981,0.1492330965084271
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,41.80903915624922,0.11526723403946114,0.7443056026030898,4.199448180037714,0.12700776549709922
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,36.65090821384574,0.07561523622488156,0.998539522048332,4.739836286433588,0.1416446063993195
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,38.19246673300748,0.11151811853369746,0.7999179792911209,3.993384429780039,0.15527982351288894
