Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,45.12982505394128,0.4638298232801922,2.394314813093772,6.109026449809952,0.6630522734541452
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,45.790402521106174,0.5411717430938687,2.595626393176866,6.076636005356426,0.7618690179563338
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,45.002689364217254,0.49912793013235,2.330426465835131,5.8461509432846,0.6966330643400288
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,45.70441153527197,0.5129306985398944,2.9935644550462426,6.932940221352504,0.7720568235227125
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,50.7617935534006,0.5477567308486464,3.14225271643705,7.4196859857791875,0.7797482743168824
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,45.529668622840795,0.5287441437448519,2.738905160194774,6.211228265401038,0.7723829187963398
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,45.73175750261708,0.5363413178736524,2.6155678734042036,5.89890520156904,0.8818826958841268
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,44.62302491272855,0.5293042453368463,2.4530261638281594,5.577414208241112,0.7804403152689772
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,48.02365643446514,0.5200922047366083,2.509914916859529,6.05953893498999,0.754497126501644
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,71.13533578885776,0.713844062783413,2.956857550776147,7.31595202500815,1.1763789745006923
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,70.50634979080672,0.7883547951489401,3.001961424538656,7.722644187218574,1.1369560059138886
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,70.80715369346417,0.7505622330679501,2.789867362425989,7.231244551636868,1.057190784916906
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,69.95664661553569,0.8651392209358011,3.5711447712861975,8.176131641206286,1.2422123464492605
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,70.40864689505182,0.7596827681335715,3.704144033906145,9.22925770012229,1.005312773121581
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,70.43806552460495,0.8318747988622703,3.43276704744631,8.058005048168159,1.2125305715720232
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,70.75831333510948,0.8034000846854485,3.038093411482508,7.647031123494794,1.0668935760633498
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,72.6411925171244,0.6792190951289573,3.1281183876340424,7.795409311950052,1.0701291352280422
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,68.4350109807437,0.8854370986504069,3.248181272925771,7.626116038936221,1.2005960013957222
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,123.58557383309626,1.38889054174969,4.230055013858081,9.945265961994464,2.024263292069568
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,123.43099467549787,1.5170068933677978,4.227786162796549,9.796334289157997,2.1020870256769104
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,125.375235452562,1.4928562248300667,4.473244805892155,10.245366035375767,2.2271794502097007
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,125.93164034692757,1.5890059221118817,5.254250984652313,11.685908362884414,2.293579303748709
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,119.3666149399227,1.6537216946337459,5.32349869801856,11.87755127184969,2.333553499098495
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,121.79217823035492,1.5913963151738595,5.268147461398051,11.722719202881004,2.327302740345429
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,121.71941737620766,1.6166123993739294,4.5366361462142075,10.039980419286046,2.1775303399956694
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,120.72937710773257,1.5599811279507674,4.745365115249631,11.0863344836296,2.104876391379297
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,124.76099301894051,1.5901285254635982,4.94266552149157,10.96527288786932,2.3415766586503164
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,170.5344171659616,2.8389279124742837,9.537536671850065,21.756597358647078,3.580850838636393
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,167.946914449643,2.627342872523386,9.61881245638427,21.813575437571508,3.8263373805353833
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,155.55109154050737,2.803009402182294,9.626587426517512,21.27230318448177,3.7019398901980023
