Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,46.58387136390202,0.48647646223714364,2.278443900238969,5.77818416568328,0.7203694404728469
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,42.61842341910186,0.49511979120039973,2.2080714540430986,5.551004008082328,0.7914823909983648
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,46.28252058324901,0.5256969358214011,2.257283913823166,5.770560585655598,0.7700659929313491
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,47.6224527267137,0.47932336099463557,3.036958054038597,7.192482441722771,0.7877358313062284
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,48.489367858303474,0.5292336443104015,3.0891280106902244,6.92811656907363,0.8241450861471342
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,47.51288147386968,0.4965944466252485,2.8870968980787506,7.005291486642552,0.7419883890505533
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,41.90213520394876,0.4889280254356345,2.327577084769488,5.719194835629816,0.7038129969221358
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,49.90693322770572,0.5585719182673546,2.6166246547917065,6.329796188127814,0.7499269151733509
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,51.200588117992325,0.5065477153606125,2.5542553323271564,6.122582482280167,0.8103963528665241
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,71.35360847350374,0.8181441148796997,3.0085427635790487,7.697071998993531,1.213164840113146
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,69.98298827159566,0.7290492904031202,2.8661228804435326,7.137789445266609,1.1083448901907818
