Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,254.9892119107861,2.544632045825559,10.409876529270235,34.86509955933915,2.926049431744648
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,254.80581680965074,0.5856127154916578,9.943514713864031,36.46120751370211,0.8804060297218071
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,251.8230714928198,0.5385806173247216,9.095084683442863,36.09942683162778,0.6623310766543982
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,240.19281750462014,0.5538152680100522,16.052371896352284,40.24528571307246,1.075866259504854
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,260.82099100097497,0.5263974604992867,10.912345586997965,38.24313516453928,0.7569528184927876
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,271.41928110646796,0.6097981847467622,13.86458781250208,42.56714419872409,1.0814127855961242
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,247.49421722709562,0.41382059356004924,8.937815868665476,35.9067936910368,0.6736133541894422
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,246.71288051395064,0.41662906774804026,8.164581538374144,33.596258537282395,0.8167443373998491
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,249.5345406262742,4.638096934757401,21.27871348374583,38.10397163781477,7.0641821419504875
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,406.7240380878942,3.61095742177734,13.296563604113137,47.47361426662321,3.858592818584841
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,397.34589273647094,0.7678668697650941,11.3665351888177,47.086951171654526,1.138267887493283
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,421.60320250332734,0.7474321725537598,11.549839489332772,49.960136874808484,0.9593862920593699
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,423.90004575242074,0.8766300872159526,20.356617581661673,58.05077031379661,1.4633241893925897
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,428.472051050968,0.8455703527163199,12.881281894970375,51.006932556189156,1.1202424851637678
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,410.2610650234511,0.8297430562253953,16.21732019169515,55.53887683447845,1.1254459474933536
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,432.0665184759364,0.6374625372251538,9.715010785253051,47.31020099110548,0.8652874859809839
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,419.562766570211,0.8485085193619293,10.301456634402191,48.127945367683274,1.1688210060667414
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,404.789486969271,9.342489025365206,30.284498671492234,51.23823542717291,13.15646645109251
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,750.6601014071665,7.957791940583763,18.420578116454884,65.86233186019895,8.40034586105776
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,760.0820545093036,1.3359615208719988,13.970103673471902,69.14122928954914,1.6221272236865985
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,752.2798540878094,1.2930247192107807,12.880581817619277,67.8382480635821,1.6205305224782809
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,769.6161531052384,1.8136182110615682,33.68080199312485,91.12308425512484,3.187905453852472
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,747.7827255075424,1.357926286883345,15.61271749012991,72.45858968478846,1.6726367050999773
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,745.1302538260472,1.4340223945502415,21.697505036068048,83.45786777367047,1.939658557284182
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,752.9449121373952,1.0176571606934068,12.381124329099439,68.19123787520188,1.3613410127794412
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,765.0167429183961,1.4104032098864554,13.605671012609115,70.90913236909623,2.0664952043686333
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,757.7961290332792,21.365087039150097,49.12869155466925,77.26528602521698,24.811478743316755
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,1161.9374763567644,0.788711840121165,39.08122201690629,171.02709392911865,0.7896742864565369
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,1196.2949635913724,0.2752469028992735,54.37750640403246,184.2908587227784,0.5253181240674213
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,1261.1903974082786,0.4053986451580216,57.52498535115793,197.56571747238087,0.43816157093114366
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,1196.3545844424466,35.25918238646928,159.95049649695315,209.3312949628668,78.31105317600426
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,1183.3390954486226,9.698694842540652,63.54795083314322,182.0533753827399,11.206220875859312
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,1132.4507793461582,36.688711339137946,122.86305799590876,198.5260896586056,44.15098534226257
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,1129.6131436290611,0.19066044972119495,40.67330455159669,169.79520628084356,0.24971170648104316
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,1220.4718916270524,0.12002219230037509,41.94216202934696,175.01825300031282,0.154027163646151
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,1057.2122317042347,108.52350616330375,197.69229572373806,162.07862959231286,127.79837143246607
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,1920.3727882351661,0.7658074150931282,49.027991957761586,238.3008557724012,0.7724332142765102
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,1945.7861842049217,0.18504409193030302,62.253151915918124,244.99176372713617,0.2856615750521609
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,1941.5688708647242,0.45930936853375215,54.74175582894763,239.9313206766223,0.4752488741552117
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,1922.8795528722574,63.41946875577109,231.6318270234036,292.097841628644,123.34651613784877
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,1849.7445829144265,16.443031331461874,79.29947448741564,239.204822944243,20.664257719066164
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,1945.3574555615844,78.96737758842684,182.93168590071676,286.7618611833385,90.1736293508705
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,1956.535989603127,0.15342394658610584,51.87830295599613,245.01341226171422,0.1759766388638097
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,1913.2704142793536,0.09870841766239458,82.19345461892301,305.9784387113507,0.16660893128263846
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,1867.3446563630514,177.41888478465904,306.0889520817279,235.62431405017443,214.85766230681133
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,3447.4759089798813,0.7992748531182381,50.162348705276926,322.96761113973895,0.8074294147858957
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,3453.783490901236,0.09070384988148561,128.29262990185566,440.70502285955246,1.3663392223231006
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,3341.245564205142,0.5176160728917453,58.63903001385046,322.08898644637713,0.5248259650655317
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,3501.3113678210707,252.18830648714706,529.7783921437367,430.30998611980084,401.3589054990942
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,3462.2640431803347,36.38556343864788,110.7043996763072,340.9327913729777,39.57515829481133
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,3421.8625959267956,128.79859268976975,254.81488889452464,398.4825264158703,143.12151227342883
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,3516.427870819853,0.12636204394923423,57.36495172257271,341.0104563607591,0.1369997454685903
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,3458.645870605005,0.09971047057111126,165.91960821742174,554.8825439497766,0.18622102717940575
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,3420.8990178944864,384.04932981211795,562.3994011710449,341.8214446272142,459.6152069919417
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,56.39972331305118,38.693392079560745,39.717673411677985,1.6592984223607825,39.22326253938394
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,60.69125998556867,1.9620304126971446,3.517264884245118,5.389667822461807,2.514769193211066
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,59.661921625099765,1.9168326775188058,4.234050525418101,5.7876055324429085,2.365702207652468
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,211.9152724134742,91.89292384984009,115.14772778927082,22.126181874589353,109.10851072732399
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,193.59077070104027,134.82150752824964,146.0813100639386,11.75952847624842,141.13307407715462
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,219.2061996572726,94.16214083259808,111.98338860957564,23.944855898934993,103.0230372461371
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,148.30164781896403,39.49904394157737,53.47970496923817,18.389716578820106,46.124178515699654
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,218.90242952886973,26.83782464040532,49.19226930009258,28.564705990256325,38.41460170743669
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,217.20949371589262,126.25211340118926,141.5427309060333,17.33956615411914,134.7523294594162
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,74.04107863523897,45.59949023802598,47.61895535778764,2.5472446727615687,46.835203210031736
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,79.17499082840247,0.8411873151238499,3.0361138704032467,6.50055526367803,1.4275361053860984
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,72.15453895952331,2.1696720414602497,3.985672532370418,6.021329340607695,2.5204584964554257
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,308.1073932121908,140.8673714801307,167.59357838994677,31.717995026517336,155.5487751022855
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,296.74895766101235,201.8629707601381,213.36306389692803,15.6602607481178,207.13988906611698
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,308.0723183903522,145.62290455914592,168.82794269002275,28.894776401130034,157.40969944866325
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,225.03958895915972,59.60940917658792,76.73162118469456,25.464762304783502,66.88916377855696
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,279.5072537284574,40.14486898554681,69.49286941556304,36.729560946049354,56.46341647624729
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,291.724077867085,201.15824310137103,216.57422065028015,18.10344857931274,211.30058802128215
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,97.73611789462254,64.4373171460493,67.6036351363585,3.2358399497523616,66.82625473105722
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,101.46037408925793,0.8026081104870664,2.605139280066282,6.693512386654211,1.8709672111565299
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,109.53867421020743,2.6706760336515716,5.7292777183597,8.059848777223692,4.165963337565334
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,462.81380206799105,261.44613878394443,296.75079588209576,39.237906800376955,283.7838453037583
