Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,257.95297304569146,2.978955603585278,11.708662860056304,36.36045453770165,3.212183457810628
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,234.20249467906132,0.5708630833605138,9.429593181172443,34.0567774112649,0.8310450851001232
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,236.7994238214447,0.590738222596301,9.229529087968917,34.4256442421084,0.8088373322752858
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,248.2301140721342,0.5423584912188464,16.62996822645283,43.08928625468654,1.2038321365849867
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,245.87763217927824,0.5626607749324769,10.428716534601346,36.24214106949586,0.7821387142822986
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,252.45688204841568,0.6103912869475973,13.951555888989878,41.33352446130974,0.9287089194515583
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,246.90187706395582,0.5182958479252886,8.794681478199674,35.227455195269926,0.7449913074752141
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,249.4352492017963,0.45146238850364123,9.123687861024415,35.63728722895637,0.7421516897606583
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,245.9108688543764,4.827286644807609,20.979058334327913,36.90502042458148,7.902117071664335
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,402.55123381989523,3.352892854506313,12.600146571556918,46.59034780022162,3.556345441281937
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,384.6984263021053,0.8649685147386398,10.837045679352668,45.715572426558836,1.1080407423671257
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,395.4477941918463,0.7906982726235088,11.115985835395351,47.79359897988018,1.0014790738429615
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,418.5441116005487,0.8276638630858593,22.46151137722041,60.01085768474808,1.5756649395130453
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,401.67717429008127,0.8290394462195912,12.015595333660544,48.197211916849646,1.0627312697607827
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,393.9270497758651,0.8567453495578853,15.411397927500644,52.411852769275,1.302366822678322
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,406.52365940347016,0.7586646104915723,10.287817997779,46.87124593227617,0.9547975835717247
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,407.81184443950235,0.5648973695686927,9.795605687785518,46.5039109873814,1.0171757357188267
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,390.76029471864797,9.424065044349167,32.27060701963095,52.42747129748026,12.640139871482672
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,735.6883871478694,3.6729847122731543,15.212603552669865,68.24717121258992,4.098962954149018
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,757.8406309083633,1.416025459785911,14.599418565628692,70.67700356075365,1.8126646774261466
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,736.5094839229602,1.2451761069152174,12.224903149181989,65.39389415617558,1.5794237020125201
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,747.1504848293063,1.8351456182676968,35.26760501672474,90.86985273100534,3.2400927616285715
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,719.8464034396513,1.1764222599071312,15.709574427418442,71.07781221156053,1.5843673003329175
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,730.4677624812191,1.626523196495517,20.938084527962097,79.88818540053613,1.931263701190838
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,740.9779119603201,0.8853698743007762,11.904368036849068,67.800478575231,1.2710275736832952
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,748.8237920663757,1.40733410622417,13.332698528825855,69.90335802933016,2.0648705020244726
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,699.7951064045553,17.51141708178523,46.918435046263184,77.11056869730318,20.38087739588867
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,1170.7702136337125,0.7781749272933178,40.26907682510407,174.58157032901866,0.779784248662518
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,1156.5804909337965,0.2478790616286554,55.63955932335974,184.481249204486,0.626552406627864
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,1095.2298313675994,0.4186211321150667,44.21003326186526,166.08501940010694,0.4936092554026841
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,1092.3613697168635,30.233745312457025,142.4752543925085,192.3999916731703,62.5162682847004
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,1132.7082543399897,8.797781301035744,60.03528791413724,175.20935666186622,11.19067423287227
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,1141.7977817934416,40.95930023054125,125.4951938237409,195.93502511292596,53.84790205087613
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,1127.3252568792734,0.15919077648549826,43.43784519814973,173.51700766314647,0.201709183210029
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,1156.9165597687856,0.12197986755177179,39.48487878241879,168.0314945198012,0.1601154751435861
Funkcja Griewank,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,1157.148880150319,107.33416750488757,197.71848343132336,170.89643728968417,125.82336421289642
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,1917.9165588489334,0.7486144458346009,44.21681812045023,229.80616646017202,0.7624755678192783
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,1897.0772015231414,0.2005505362780154,60.62100576853236,236.91973366756943,0.3615402991947926
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,1855.4181387107378,0.4413133753857732,55.25910825165034,234.8117681638613,0.46775912940793657
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,1894.381043949083,67.09414531086432,225.49810851650858,283.38071018640767,119.50297888155839
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,1874.5991238989948,16.916934071423388,81.43915177592048,238.70392898758917,20.688001848852938
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,1902.5552865504317,69.00666287672934,171.703083498884,274.8273525026822,85.23835864815742
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,1875.443302751731,0.1510063568404336,48.34652360451659,231.6366995549931,0.1696837065506116
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,1884.0433496400176,0.09534102504645237,76.85685538896716,286.91872449685553,0.16445554762741538
Funkcja Griewank,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,1879.4188680202794,171.84394119135172,299.99194117620436,234.01443241334331,224.06930578089174
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,3297.549786867323,0.8138607937654309,51.24461523431297,316.93166573873464,0.816044005517184
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,3396.7692306416334,0.09859294317710032,97.1212484706025,384.3272058007847,0.2199819945101544
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,3349.7490398676737,0.525999237991823,60.35356325287847,327.1937518059933,0.5401089450057593
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,3435.755223496953,224.26747251318346,474.1496907340015,420.8363389614356,332.96926513780807
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,3377.733853967592,36.93767151565515,120.3108078425606,346.4060003411498,41.82081238837111
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,3416.963063883943,129.32025737545487,261.4884750199822,408.0805675855486,149.73125383465631
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,3392.800929250835,0.12210012562416493,58.80325574657446,334.65544588585533,0.13154574043185885
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,3394.7220540783355,0.09986166363461013,169.6328256505002,546.7876003903938,0.21925404134921828
Funkcja Griewank,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,3445.0014172636534,412.4953171980313,566.1733133713606,351.66261235963213,436.8619395216409
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,64.7407539376177,49.757139270891756,50.632177043121914,1.5454557394473984,50.13380686012551
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,62.952830273738,1.2586712954020058,3.822218143189836,6.181836474474899,2.0597379195521945
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,61.78867246738622,2.573348653393305,4.650989090329847,5.342610133003296,3.727518437629314
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,225.82238601922637,92.60006196053055,114.16201648931498,25.984699913505786,103.26330477618697
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,202.75414754687537,123.18643060054573,134.5553540778539,13.753106153577372,130.31592360040435
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,215.1514135221838,86.58654812714215,106.65519263408684,24.602934892240743,93.48566933671924
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,148.67024109830487,39.30116590992402,52.747967019656826,18.94906280407193,45.154457409630616
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,213.1899618664057,26.39937398541253,47.791579813066306,28.436229566668473,37.82157767738052
Funkcja Rastrigin,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,213.60493039647548,116.8896622494477,134.82781183791403,19.38571998260745,128.4578922602218
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,78.93305957730242,51.525286487406355,53.46612723496557,2.63984043305405,52.857825657076596
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,69.47712122325882,1.0961011478749036,2.7878203906220094,5.740727103845052,1.5860680742094075
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,80.54163353266757,1.7325025380573194,3.31242330834687,6.584843508145874,1.9904030010434965
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,285.81263770953564,147.4262134682293,172.89106280567822,27.92519935872227,161.86413215588058
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,293.7879846518958,195.15085150734578,210.91637693086682,17.926892317817867,204.06991383844158
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,282.46119135949994,145.57152039525246,165.83798151951447,25.727011575959793,156.07969875535733
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,206.1557229308966,53.38115674026007,68.89355505042327,24.33724916111295,59.170798562135715
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,288.42065649403446,41.58573496237041,70.6867564287896,38.01078790076635,57.417836338922356
Funkcja Rastrigin,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,285.5106008441522,196.9767773783046,215.09559676381727,17.477603058931358,211.10354994924177
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,121.6499601401431,66.3114628786204,69.76684411964615,4.2022101302033725,68.57079268623127
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,118.77111472037954,0.735775038628516,2.3131163744277474,7.315793598190183,1.434200033589165
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,130.93189247564342,1.7979384630227733,3.9192291103817656,8.7993704610123,2.435875878096441
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,468.72952367887865,257.3850731881974,296.02230092606766,40.42086590607949,281.52759861665527
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,484.3134032484568,366.84658279784196,385.6771263991285,18.92056846727822,382.4796054570569
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,469.2441614590558,249.20816337654202,279.5426835778753,39.108397219446694,264.9307712204881
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,311.1287930484101,93.87996323483051,111.69351335004437,25.34916132014492,105.97637464860011
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,454.49667844452523,71.89183753458548,116.14473584454942,53.36422216399801,98.07953939861386
Funkcja Rastrigin,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana teleportująca,462.1266075513478,354.02084097272007,372.4146669555084,21.25205032682146,364.9289645969503
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana pochłaniająca,18.99287718946898,18.886201285649562,18.901234478408437,0.015923194681256844,18.897860181172387
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana odbijająca,18.990544051879372,17.41193355812144,18.563551395068053,0.4268269558857313,18.750853740313797
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana tłumiąca,18.971179040856512,17.11139019847523,17.604380733082294,0.5725993977530514,17.36866011331717
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana,1101.5641359943756,57.34910322801134,116.13040098640104,125.03080921097018,76.2193733293893
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana  tłumiąca,1362.5503161801485,35.70068296412076,91.13087118468438,165.7266235052791,40.231369337302816
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Niewidoczna ściana odbijająca,1299.442496253434,44.62534222947007,92.8434848535114,138.67773515397295,53.50151610057687
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana lustrzana,221.16337837802612,16.570831606996634,21.58608135099191,19.91450236857558,17.040596400803743
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana resetująca,962.1998610901389,18.206932452450765,39.67213068022076,85.53217602151965,21.33924941590381
Funkcja Rosenbrock,Wymiary: 20; Rozmiar roju: 50; Max iteracji: 200,Ściana teleportująca,1291.160725333147,81.44313675896356,170.5727127996677,155.22920203231897,121.4788075292534
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana pochłaniająca,28.946710408376532,28.538786655323275,28.638673702636936,0.09135541566385745,28.62946336761872
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana odbijająca,28.96124436222733,24.791317237196314,28.167782927487583,0.869452291954846,28.590113798336976
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana tłumiąca,28.95893545770184,26.64927754543347,27.320041229823588,0.632578008509369,27.049735225059276
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana,1037.8849316757348,97.09612749506265,157.4526807482395,113.03901398242778,122.31111835568834
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana  tłumiąca,1219.9974267565644,57.436811783394205,102.08028280188984,145.5741781468721,63.55014361151061
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Niewidoczna ściana odbijająca,1257.5957296339668,66.47535404464358,117.18246798868489,122.26134662449017,81.9505344786154
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana lustrzana,129.3509687291993,26.276835717900163,28.38517701507582,8.506417601100306,26.707255000034042
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana resetująca,981.9761548602489,30.602834126160342,52.50302701192736,74.47981787189214,35.3875937474158
Funkcja Rosenbrock,Wymiary: 30; Rozmiar roju: 100; Max iteracji: 300,Ściana teleportująca,1054.408573222353,116.45677650179016,219.84173104117366,141.96668943605772,169.66873683885967
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana pochłaniająca,48.883698871739035,48.461557530880505,48.564341874985935,0.0756521316324581,48.54084067990949
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana odbijająca,48.91947342169148,32.32370542159929,47.04643545997637,3.431123709028833,48.338523854951404
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana tłumiąca,48.80755822283281,46.565217295400814,47.38698786670691,0.7014088342878028,47.1756161188693
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana,986.7980274606458,160.86937177232736,224.17851232265673,106.09007944081101,189.64239345773325
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana  tłumiąca,1422.6007397606365,98.17163940636746,150.3623692710407,145.29882220268416,112.65528840648204
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Niewidoczna ściana odbijająca,1169.520867996758,128.30414404496156,169.84867663099203,108.56114609555354,140.14850674944284
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana lustrzana,99.64909074010298,45.80243272753568,46.97672414315657,3.4528326172374815,46.338419706040746
Funkcja Rosenbrock,Wymiary: 50; Rozmiar roju: 200; Max iteracji: 500,Ściana resetująca,1253.9013304579278,48.99461282142385,67.48195006704142,79.45745110579747,54.25112884481714
